Name: ,Specialization,Highest degree: ,Experience,Fee,Degrees:,Wait_time,Number of Patients:,Rating,Location
Dr. Humaira Ata,"Dermatologist, Cosmetologist",M.B.B.S,14 Years,"Rs. 3,000","M.C.P.S (Family Medicine),  Diploma in Dermatology",15 - 30 Min,14,100%,Islamabad
Dr. Shumaila Jawed,"Dermatologist, Cosmetologist",MBBS,8 Years,"Rs. 2,000",MCPS (Dermatology),Under 15 Min,298,100%,Islamabad
Dr. Maria Wasti,"Cosmetologist, Laser Specialist, Dermatologist",MBBS,12 Years,"Rs. 3,000",CAD,Under 15 Min,103,99%,Islamabad
Dr. Hina Zahoor,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 2,000","FCPS (Dermatology),  MRCP (SCE) Dermatology,  MHPE (Masters in Health Professions Education)",Under 15 Min,13,100%,Islamabad
Dr. Sumaira Abdullah,"Dermatologist, Cosmetologist",MBBS,18 Years,Not Available,"MCPS (Dermatology),  MD (Dermatology)",Under 15 Min,6,100%,Islamabad
Dr. Sheikh Mustanser Siab,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,"Rs. 1,250",F.C.P.S.,15 - 30 Min,1739,99%,Islamabad
Dr. Yusra Shabbir Khokhar,"Dermatologist, Cosmetologist",M.B.B.S,4 Years,"Rs. 1,000",M.C.P.S (Dermatology),Under 15 Min,41,96%,Islamabad
Dr. Ambreen Adeel,"Dermatologist, Cosmetologist",M.B.B.S,6 Years,"Rs. 3,000",M.C.P.S (Dermatology),Under 15 Min,4,100%,Islamabad
Dr. Amera Rahman Mudassir,"Dermatologist, Cosmetologist, Aesthetic Medicine Specialist",M.B.B.S,8 Years,"Rs. 1,500","MS (Dermatology) (UK),  Dip. In Aesthetic Medicine (USA)",Under 15 Min,16,100%,Islamabad
Dr. Zainab Jalil,"Dermatologist, Cosmetologist",MBBS,4 Years,"Rs. 1,500",MCPS (Dermatology),15 - 30 Min,7,100%,Islamabad
Dr. Tahira Shahid,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,11 Years,"Rs. 2,000","MSc,  PGD in Dermatology",Under 15 Min,263,98%,Islamabad
Dr. Annum Shehzadi,"Dermatologist, Cosmetologist",M.B.B.S,8 Years,"Rs. 1,500",F.C.P.S,15 - 30 Min,189,100%,Islamabad
Dr. Nabeela Ibrar,Dermatologist,MBBS,9 Years,Not Available,Dip. Derm(Pak),Under 15 Min,2,100%,Islamabad
Dr. Sidrah Kiani,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,"Rs. 3,000",F.C.P.S. (Dermatology),Under 15 Min,11,100%,Islamabad
Dr. Lubna Rani,"Dermatologist, Cosmetologist",MBBS,16 Years,Not Available,"FCPS (Dermatology),  MHPE",Under 15 Min,27,100%,Islamabad
Dr. Jahangir Mati,Dermatologist,M.B.B.S.,6 Years,"Rs. 3,000","F.C.P.S. (I),  PG Diploma in Dermatology",Under 15 Min,9,100%,Islamabad
Dr. Sabeen Mansoor,"Dermatologist, Cosmetologist",M.B.B.S,20 Years,"Rs. 3,000",M.C.P.S (Dermatology),15 - 30 Min,41,100%,Islamabad
Dr. Areeba Jabbar,"Dermatologist, Cosmetologist",MBBS,14 Years,"Rs. 1,500",MD (Dermatology),15 - 30 Min,33,100%,Islamabad
Maj (R) Dr. Afsheen Bilal,Dermatologist,MBBS (Gold Medalist),21 Years,Not Available,"Dip in Derm (AFPGMI),  FCPS (Dermatology)",Under 15 Min,1589,98%,Islamabad
Dr. Huma Afzal Shaikh,Dermatologist,M.B.B.S.,18 Years,"Rs. 1,500",F.C.P.S. (Dermatology),Under 15 Min,63,96%,Islamabad
Dr. Bushra Hashmat Ullah Khan,"Dermatologist, Cosmetologist",MBBS,28 Years,"Rs. 1,500","MCPS (Dermatologist),  CMT",Under 15 Min,683,99%,Islamabad
Dr. Zeeshan Perwaiz,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,22 Years,Not Available,"MCPS,  MPH,  Dip. in Dermatology",Under 15 Min,132,100%,Islamabad
Dr. Atif Hafeez Raja,Dermatologist,MBBS,14 Years,Not Available,"MSC,  Dip In Derm",Under 15 Min,13,100%,Islamabad
Dr. Sarosh Mumtaz,"Dermatologist, Cosmetologist",MBBS,3 Years,Not Available,FCPS,Under 15 Min,2,100%,Islamabad
Dr. Waqar Maqsood,"Dermatologist, Hair Transplant Surgeon",M.B.B.S,10 Years,Not Available,"Diploma in Clinical Dermatology and Dermatosurgery,  Diploma in Aesthetic surgery in Hair Transplant",Under 15 Min,107,97%,Islamabad
Dr. Muhammad Erfan,"Dermatologist, Cosmetologist",M.B.B.S.,8 Years,Not Available,"F.C.P.S.,  M.R.C.P",Under 15 Min,140,98%,Islamabad
Maj. (R) Dr. Ali Riaz,"Dermatologist, Cosmetologist",M.B.B.S.,14 Years,Not Available,F.C.P.S. (Dermatology),Under 15 Min,14,100%,Islamabad
Dr. Uzma Waqar,"Dermatologist, Cosmetologist",M.B.B.S,13 Years,Not Available,"Diploma in Clinical Dermatology London (UK),  PLAB,  Post Graduate training in Internal Medicine,  Full Registration with GMC,  UK",Under 15 Min,70,84%,Islamabad
Dr. Muhammad Saleem,"Dermatologist, Cosmetologist",MSc-Dermatology,14 Years,Not Available,"Fellowship In Anti-Aging And Regenerative Medicine ,  Diplomate In Aesthetic Medicine ,  Diplomate In Dermatology ,  M.B.B.S.",Under 15 Min,24,100%,Islamabad
Dr. Robina Qureshi,"Dermatologist, Cosmetologist",MBBS (AIMC),32 Years,Not Available,MSc Clinical Dermatology (University of London),Under 15 Min,634,98%,Islamabad
Dr.  Mahwish Hayee Shahid,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,7 Years,Not Available,"GMC (UK),  MSc. Health (King College London-UK),  Diploma in Clinical Lasers and IPL(UK),  Certified Training in Dermatology BAD/NHS(UK)",Under 15 Min,13,100%,Islamabad
Dr. Noreen Sarfraz,"Dermatologist, Cosmetologist",MBBS,11 Years,Not Available,"MCPS (Dermatology),  Dip Derm In Aesthetic and Cosmetic Medicine",Under 15 Min,36,92%,Islamabad
Dr. Amna Ali,"Dermatologist, Cosmetologist",MBBS,12 Years,Not Available,MCPS (Dermatology),Under 15 Min,54,96%,Islamabad
Dr. Midhat Fatima,Dermatologist,MBBS,"100%
                                                                                    (4)",Not Available,FCPS (Dermatology),7 Years,4,,Islamabad
Dr. Huma Afzal,"Dermatologist, Cosmetologist",M.B.B.S,13 Years,Not Available,F.C.P.S (Dermatology),Under 15 Min,3,100%,Islamabad
Dr. Urooj Mirza,"Dermatologist, Cosmetologist",M.B.B.S.,11 Years,Not Available,FCPS (Dermatology),Under 15 Min,40,96%,Islamabad
Dr. Shazia Yousaf,"Dermatologist, Cosmetologist",MBBS,11 Years,Not Available,FCPS (Dermatology),Under 15 Min,112,89%,Islamabad
Dr. Muhammad Amjad Khan,Dermatologist,MBBS,17 Years,Not Available,"FRCPCH,  FRCP (Edin),  FRCP (Glasgow),  M.Sc Derm (UK),  CCT UK",Under 15 Min,86,100%,Islamabad
Dr. Nadia Arshad,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,12 Years,Not Available,"Diplomate Dermatology (UK),   MSc in Clinical Dermatology (UK)",15 - 30 Min,82,95%,Islamabad
Dr. Maria Syed,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,10 Years,Not Available,F.C.P.S (Dermatology),15 - 30 Min,26,100%,Islamabad
Dr. Sarah Naeem,"Dermatologist, Cosmetologist",MBBS (Pb),14 Years,Not Available,MSc Clinical Dermatology (UK),Under 15 Min,99,93%,Islamabad
Dr. Syed Afaq Ahmad,"Dermatologist, Cosmetologist",M.B.B.S,"67%
                                                                                    (3)",Not Available,"Diploma Dermatology (Bangkok , Thailand),  FCPS (Dermatology)",36 Years,3,,Islamabad
Dr. Shanaz Muazzam,"Dermatologist, Cosmetologist",MBBS,22 Years,Not Available,MCPS (Dermatology),Under 15 Min,14,100%,Islamabad
Dr. Rahat Ullah Khattak,"Dermatologist, Cosmetologist",MBBS,33 Years,Not Available,"FCPS (Dermatology),  LRCP,  MRCS,  Dip in Venereology,  Dip in Dermatological Science",Under 15 Min,28,100%,Islamabad
Dr. Kiran Sheheryar,"Cosmetologist, Dermatologist",M.B.B.S,21 Years,Not Available,"F.C.P.S. (Dermatology),  M.C.P.S",15 - 30 Min,6,100%,Islamabad
Dr. Khursheed Azami,Dermatologist,MBBS,21 Years,Not Available,MCPS (Dermatology),7 Years,not available,100%,Islamabad
Dr. Mariam Malik,"Dermatologist, Aesthetic Physician, Cosmetologist",MBBS,8 Years,Not Available,Dip in Dermatology (Canada),Under 15 Min,8,100%,Islamabad
Dr. Rabeea Naveed,"Dermatologist, Cosmetologist",M.B.B.S,"100%
                                                                                    (2)",Not Available,M.C.P.S (Dermatology),5 Years,2,,Islamabad
Dr. Abida Sardar,"Dermatologist, Aesthetic Medicine Specialist",MBBS,14 Years,Not Available,MCPS,Under 15 Min,23,93%,Islamabad
Dr. Sana Aftab,Dermatologist,MBBS,14 Years,Not Available,,not available,not available,93%,Islamabad
Dr. Fauzima Anwar,Dermatologist,MBBS,14 Years,Not Available,Dip in Derm,not available,not available,93%,Islamabad
Dr. Maqsood Anwar,Dermatologist,MBBS,14 Years,Not Available,Dip. In Dermatology,30 Years,not available,93%,Islamabad
Dr. Yasir Qureshi,Dermatologist,MBBS,14 Years,Not Available,Dip in Derm,not available,not available,93%,Islamabad
Dr. Col (R). Ahsan Hameed,"Dermatologist, Cosmetologist",MBBS,14 Years,Not Available,FCPS (Derma),30 Years,not available,93%,Islamabad
Dr. Anjum Jamil Asghar,Dermatologist,M.B.B.S,14 Years,Not Available,"F.I.C.A,  F.A.M.S,  F.C.G.P,  D.D.V,  D.V.D",not available,not available,93%,Islamabad
Dr. Azeem Alam Khan,"Dermatologist, Cosmetologist",M.B.B.S,14 Years,Not Available,"M.Sc. Clinical Dermatology (London),  Dip-GUM (UK),  FACP (USA)",22 Years,not available,93%,Islamabad
Prof. Dr. Ikram Ullah Khan,"Dermatologist, Cosmetologist",MBBS,14 Years,Not Available,"MRCP (UK),  FRCP (Edin)",30 Years,not available,93%,Islamabad
Dr. Riaz A. Sheikh,Dermatologist,MBBS (Pb),14 Years,Not Available,"DDV (Vienna),  FRSH (UK)",not available,not available,93%,Islamabad
Dr. Samina Sohail,Dermatologist,MBBS,14 Years,Not Available,,not available,not available,93%,Islamabad
Dr. Aamna Batool Khan,"Plastic Surgeon, Cosmetic Surgeon, Dermatologist",MBBS,14 Years,Not Available,"MCPS, FCPS (DERMATOLOGY)",not available,not available,93%,Islamabad
Dr. Rushqia Mukhtar,"Dermatologist, Cosmetologist",MBBS,14 Years,Not Available,FCPS,not available,not available,93%,Islamabad
Dr. Ambreen Qadeer,Dermatologist,MBBS,14 Years,Not Available,"FCPS,  MCPS",not available,not available,93%,Islamabad
Dr. Haider Ali Shah,"Dermatologist, Cosmetologist",DIPLOMA IN DERMATOLOGY,14 Years,Not Available,MBBS,not available,not available,93%,Islamabad
Dr. Asif Kamal,Dermatologist,MBBS,14 Years,Not Available,"FCPS,  MRCP (UK)",not available,not available,93%,Islamabad
Dr. Neelam Ayub,Dermatologist,MBBS,14 Years,Not Available,FCPS,not available,not available,93%,Islamabad
Dr. Agha Hassan Feroze,Dermatologist,MBBS,14 Years,Not Available,,not available,not available,93%,Islamabad
Dr. Tayyaba Iqbal,Dermatologist,MBBS,14 Years,Not Available,FCPS,not available,not available,93%,Islamabad
Dr. Nighat Akbar,Dermatologist,MBBS,14 Years,Not Available,MRCP (UK),not available,not available,93%,Islamabad
Dr. Saleem Raza,Dermatologist,MBBS,14 Years,Not Available,Dip. in Derm.,not available,not available,93%,Islamabad
Dr. Ghazanfar Ali,"Dermatologist, Cosmetologist",MRCP Dermatology,14 Years,Not Available,"MRCP Medicine,  MRCGP",17 Years,not available,93%,Islamabad
Dr. Muhammad Mobeen Khan,"Dermatologist, Cosmetologist",MBBS,14 Years,Not Available,"MCPS,  MAMS",28 Years,not available,93%,Islamabad
Dr. M. Irfan,Dermatologist,MBBS,14 Years,Not Available,,not available,not available,93%,Islamabad
Dr. Sippy Iqbal,"Dermatologist, Cosmetologist",M.B.B.S.,7 Years,"Rs. 1,000",M.C.P.S. (Dermatology),Under 15 Min,300,100%,Karachi
Dr. Syed Adeel Ur Rehman,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist, Hair Transplant Surgeon",M.B.B.S.,12 Years,"Rs. 1,500","Fellow Medical Dermatology (USA),  Fellow Aesthetic Medicine (USA)",Under 15 Min,2455,99%,Karachi
Dr. Rukhsana Tariq,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,17 Years,Not Available,MCPS (Dermatologist),15 - 30 Min,27,91%,Karachi
Dr. Salman Mansoor,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist",MBBS,24 Years,"Rs. 4,000","MD (USA),  D Derm (London),  DRCP Derm (London),  Diplomat in Aesthetic Medicine (UK),  MSc. Dermatology (London),  Diplomat American Board of Aesthetic Medicine (USA),  Board Certified in Anti-Ageing Medicine (USA)",Under 15 Min,5349,95%,Karachi
Dr. Khaula Perveze,Dermatologist,MBBS,5 Years,"Rs. 1,300",MCPS (Dermatology),1+ Hour,1,67%,Karachi
Dr. Nazia Shakeel,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,10 Years,"Rs. 3,000",MCPS (Dermatology),15 - 30 Min,4966,98%,Karachi
Dr. Nosheen Waheed,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S,17 Years,"Rs. 1,000","D.Derm,  Aesthetic Physician (AAAM) USA",15 - 30 Min,2418,100%,Karachi
Dr. Anoosha Asma,"Dermatologist, Cosmetologist",M.B.B.S,7 Years,"Rs. 1,200",Diploma in Dermatology,Under 15 Min,232,99%,Karachi
Dr. Sumera Memon,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,14 Years,"Rs. 2,500","Dip. Dermatology ,  Diplomate in Aesthetic Medicine AAAM (USA),  Certified Laser Specialist NCLC ( USA),  Certified in AIUM (USA),  Certified in Anti-Aging Medicine (USA),  MBA -Health Management (Distinction)",Under 15 Min,573,98%,Karachi
Dr. Nazia Asad,"Dermatologist, Cosmetologist",MBBS,14 Years,"Rs. 2,000",FCPS (Dermatology),4 Years,not available,98%,Karachi
Dr. Asma Ansari,"Dermatologist, Cosmetologist",M.B.B.S,10 Years,"Rs. 2,000",Diploma in Dermatology,Under 15 Min,82,100%,Karachi
Dr. Khalid Munir,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 3,500",Dip In Dermatology,Under 15 Min,114,98%,Karachi
Dr. Ahmad Rabb,"Dermatologist, Cosmetologist",MBBS,27 Years,"Rs. 3,000","MHSC,  D.P.D",Under 15 Min,278,96%,Karachi
Dr. Faiza Abdul Salam,"Dermatologist, Cosmetologist",MBBS,10 Years,"Rs. 2,500",MCPS (Dermatology),15 - 30 Min,7,100%,Karachi
Dr. Sana Ziauddin,Dermatologist,M.B.B.S,15 Years,"Rs. 1,200",Diploma in Dermatology,Under 15 Min,100,100%,Karachi
Dr. Sabeen Gul Memon,"Dermatologist, Aesthetic Physician",MBBS,5 Years,"Rs. 2,500",Diploma in Dermatology,Under 15 Min,27,100%,Karachi
Dr. Huma Panja,"Dermatologist, Cosmetologist",M.B.B.S.,5 Years,"Rs. 1,250","M.C.P.S,  AAAM",Under 15 Min,166,100%,Karachi
Dr. Nigarish Fatima,"Dermatologist, Cosmetologist",MBBS,20 Years,"Rs. 1,500",Diploma in Dermatology,Under 15 Min,192,100%,Karachi
Dr. Sharmeen Mustafa,"Dermatologist, Cosmetologist",M.B.B.S,8 Years,"Rs. 2,500","M.C.P.S. (Dermatology),  AAAM ( American  Academy of Aesthetic  Medicine)Diplomate",Under 15 Min,81,100%,Karachi
Dr. Madiha Hanif,"Dermatologist, Cosmetologist",M.B.B.S,13 Years,"Rs. 1,000",F.C.P.S (Derma),Under 15 Min,213,99%,Karachi
Dr. Muhammad Asad Ibrahim,"Dermatologist, Cosmetologist",MBBS,14 Years,Rs. 500,Diploma in Dermatology,Under 15 Min,40,100%,Karachi
Dr. S. Summaya Jamal,"Dermatologist, Aesthetic Physician, Cosmetologist",MBBS,8 Years,"Rs. 2,000","MCPS (Dermatology),  Certified from American Academy of Aesthetic Medicine (USA)",Under 15 Min,104,98%,Karachi
Dr. Junaid Rabbani,"Dermatologist, Cosmetologist",M.B.B.S,18 Years,Not Available,D.Derm,Under 15 Min,368,96%,Karachi
Dr. Khawaja Muhammad Salik,"Dermatologist, Cosmetologist",MBBS (Dow),5 Years,"Rs. 1,500","FCPS (Dermatology),  SCE Dermatology (UK)",15 - 30 Min,395,99%,Karachi
Dr. Hina Rahim,"Dermatologist, Cosmetologist",MBBS,12 Years,"Rs. 1,900",MCPS (Dermatology),15 - 30 Min,715,93%,Karachi
Dr. Saleem Ullah,"Dermatologist, Cosmetologist",M.B.B.S,17 Years,Rs. 700,Certified in Dermatology,15 - 30 Min,175,97%,Karachi
Dr. Hafsa Usman Sameer,"Dermatologist, Cosmetologist",PGD (Clinical Dermatology),4 Years,"Rs. 1,500",M.B.B.S.,Under 15 Min,26,100%,Karachi
Dr. Tahira Meer,Dermatologist,MBBS,13 Years,Not Available,FCPS (Dermatology),15 - 30 Min,32,100%,Karachi
Dr. Alvina Sherdil,"Dermatologist, Laser Specialist, Cosmetologist",M.B.B.S,7 Years,"Rs. 2,000","D. Derm (Dow),  DIPLOMA from iClassAnatomy (PARIS),  Certified for Face Aesthetics (UK)",Under 15 Min,64,98%,Karachi
Dr. Zulfiqar Ali Khowaja,"Dermatologist, Cosmetologist",M.B.B.S.,35 Years,"Rs. 1,500",M.C.P.S,Under 15 Min,1998,99%,Karachi
Dr. Tasneem Nakhoda,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,20 Years,"Rs. 5,000",MCPS (Dermatology),Under 15 Min,74,100%,Karachi
Dr. Kanwal Koukab,"Cosmetologist, Laser Specialist, Dermatologist",M.B.B.S,5 Years,"Rs. 1,100",M.C.P.S. (Dermatology),Under 15 Min,106,98%,Karachi
Lt. Col. (R). Dr. Ishrat Abuzar,"Aesthetic Physician, Dermatologist",M.B.B.S.,28 Years,"Rs. 2,000",American Board Certified Aesthetic Physician and Surgeon,Under 15 Min,38,100%,Karachi
Dr. Muneebah Siddiqi,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 1,000",F.C.P.S. (Dermatology),15 - 30 Min,108,99%,Karachi
Dr. Qurat Ul Ain Muneer,"Cosmetologist, Dermatologist",M.B.B.S.,10 Years,"Rs. 1,500",Dip. In Derm.,Under 15 Min,78,96%,Karachi
Dr. Bushra Kamran,"Dermatologist, Cosmetologist",MBBS,16 Years,"Rs. 1,000",Diploma Dermatology (DUHS),Under 15 Min,3,100%,Karachi
Dr. Irfan Ahmed Kakezai,"Dermatologist, Cosmetologist",MBBS,25 Years,"Rs. 2,000","M.D,  P.hD (Derm),  CHES (USA)",Under 15 Min,278,99%,Karachi
Dr. Noor Ul Ain,"Dermatologist, Aesthetic Physician, Cosmetologist",M.B.B.S.,"99%
                                                                                    (205)","Rs. 1,400","MSc Clinical Dermatology,  Diploma in Aesthetic Medicine",5 Years,205,,Karachi
Dr. Ayub Baloch Jami,"Dermatologist, Cosmetologist",M.B.B.S.,18 Years,"Rs. 1,500",D. Derm (UK),Under 15 Min,55,100%,Karachi
Dr. Zafar Ahmad,"Dermatologist, Cosmetologist",M.B.B.S,35 Years,"Rs. 2,000",Dip. In Dermatology (London),Under 15 Min,805,99%,Karachi
Prof. Dr. Azam Samdani,"Dermatologist, Cosmetologist",MBBS,30 Years,"Rs. 2,500","Dip. In Derm (UK),  DTM&H,  D.Ds,  PhD (UK)",Under 15 Min,363,100%,Karachi
Dr. Saba Nasreen,"Dermatologist, Cosmetologist",M.B.B.S.,6 Years,Not Available,F.C.P.S. (Dermatology),Under 15 Min,190,100%,Karachi
Dr. Suroor Hussain,"Aesthetic Physician, Dermatologist",M.B.B.S.,10 Years,Not Available,Dip. in Dermatology,Under 15 Min,30,100%,Karachi
Dr. Ahmed Ali Furqan,"Aesthetic Physician, Dermatologist",MBBS,10 Years,"Rs. 3,000",PGD in Dermatology,5 Years,not available,100%,Karachi
Dr. Kinza Hussain,Dermatologist,M.B.B.S.,4 Years,"Rs. 1,500",Diploma Dermatology,15 - 30 Min,393,99%,Karachi
Dr. Shandana Aman,"Dermatologist, Cosmetologist",MBBS,10 Years,"Rs. 1,500",MCPS (Dermatology),Under 15 Min,93,95%,Karachi
Dr. Tayyaba Iqbal,"Dermatologist, Cosmetologist",MBBS,14 Years,"Rs. 1,500",FCPS,Under 15 Min,375,100%,Karachi
Dr. Sadia Zafar Alvi,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 1,200",DPD(cardiff uk),Under 15 Min,76,100%,Karachi
Dr. Mariam Jamali,"Dermatologist, Cosmetologist",M.B.B.S.,10 Years,"Rs. 3,500",Dip. in Dermatology,Under 15 Min,247,100%,Karachi
Dr. Syed Muhammad Rizwan,"Dermatologist, Cosmetologist",M.B.B.S.,18 Years,"Rs. 1,000","D.Derm,  MSc. (UK)",Under 15 Min,2298,97%,Karachi
Dr. Nadia Farooq,"Dermatologist, Cosmetologist",FCPS (Dermatology),12 Years,"Rs. 2,000",M.B.B.S.,Under 15 Min,199,98%,Karachi
Dr. Falak Waqas,"Dermatologist, Cosmetologist",M.B.B.S,3 Years,"Rs. 1,000",M.C.P.S (Dermatology),Under 15 Min,11,100%,Karachi
Dr. Rakhi Kumari,"Dermatologist, Cosmetologist",MBBS,10 Years,Not Available,FCPS (Dermatology),Under 15 Min,318,99%,Karachi
Dr. Naseem Usmani,"Dermatologist, Cosmetologist",MBBS from Dow Medical College,33 Years,"Rs. 3,000","University of Karachi,  Master of Science Candidate,  Faculty of Health Informatics from University of Victoria,  Victoria,  Cosmetic Medicine PGDip-MSc from University of South Wales,  UK,  Diploma",Under 15 Min,428,95%,Karachi
Dr. Zahra Shah,"Dermatologist, Cosmetologist",MBBS,9 Years,"Rs. 2,000",Dip. in Dermatology,Under 15 Min,270,98%,Karachi
Dr. Khurram Mushir,"Dermatologist, Cosmetic Surgeon, Laser Specialist, Cosmetologist",MBBS,12 Years,"Rs. 2,000","D.Dsc (UK),  M.Sc",15 - 30 Min,2158,99%,Karachi
Dr. Zain Latif,"Dermatologist, Cosmetologist, Hair Transplant Surgeon",M.B.B.S.,6 Years,"Rs. 1,000",Dip. (Dermatology & Dermatosurgery),Under 15 Min,214,93%,Karachi
Dr. Sana Adeel,"Dermatologist, Cosmetologist",MBBS,13 Years,"Rs. 1,200",Dip. In Dermatology,Under 15 Min,336,99%,Karachi
Dr. Naveed Ali Baloch,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,25 Years,"Rs. 2,000",MCPS (Dermatology),Under 15 Min,496,98%,Karachi
Dr. S. Mahanum Ali,"Dermatologist, Cosmetologist",M.B.B.S.,6 Years,Rs. 500,M.C.P.S. (Dermatology),15 - 30 Min,1262,98%,Karachi
Dr. Shireen Rehmat Ullah,"Dermatologist, Cosmetologist",MBBS,15 Years,"Rs. 2,000","Dip. in Diabetology,  Dip. in Cosmetology,  AAAM (USA),  Masters in Aesthetic  Medicine",Under 15 Min,142,97%,Karachi
Dr. Wajiha Naqvi,"Dermatologist, Cosmetologist",MBBS,10 Years,"Rs. 1,000",D.Derm,Under 15 Min,63,100%,Karachi
Dr. Samreen Akbar,"Aesthetic Physician, Dermatologist",M.B.B.S,10 Years,"Rs. 1,500","M.C.P.S,  Member American Academy of Aesthetic Medicine",15 - 30 Min,23,100%,Karachi
Dr. Sana Siddiqui,"Dermatologist, Cosmetologist",MBBS,7 Years,"Rs. 2,500","FCPS (Dermatologist),  SCE (Dermatology)",Under 15 Min,13,100%,Karachi
Dr. Misbah Bashir,"Dermatologist, Cosmetologist",MBBS,4 Years,Rs. 700,Diploma in Dermatology,Under 15 Min,126,100%,Karachi
Dr. Mehreen Ghafoor,"Dermatologist, Cosmetologist",M.B.B.S,15 Years,Not Available,M.C.P.S (Dermatology),Under 15 Min,6,100%,Karachi
Dr. Zafar Ahmed,"Dermatologist, Cosmetologist",MBBS,24 Years,"Rs. 1,500","CRCP (Dow),  D.Derm,  Diploma in Dermato-Surgery ,  BAD Research Course",Under 15 Min,1996,98%,Karachi
Dr. S. Asra Jamal,"Dermatologist, Cosmetologist",M.B.B.S.,14 Years,"Rs. 1,800",M.C.P.S (Dermatology),15 - 30 Min,27,100%,Karachi
Brig. (R) Dr. Ajmal Rashid,Dermatologist,M.B.B.S,27 Years,"Rs. 2,000","D. Derm,  MCPS,  FCPS (Dermatology)",Under 15 Min,378,99%,Karachi
Dr. Sheeza Ali,"Dermatologist, Aesthetic Physician, Cosmetologist",MBBS (Gold Medalist),10 Years,"Rs. 3,000","MCPS (Dermatology),  Certified in Aesthetics by American board of aesthetic Medicine(ABAM)",Under 15 Min,178,99%,Karachi
Dr. Irum Khan,Dermatologist,M.B.B.S,33 Years,Not Available,Diploma in Dermatology,Under 15 Min,6,100%,Karachi
Dr. Arsala Siddiqi,Dermatologist,M.B.B.S.,8 Years,Rs. 800,M.C.P.S,Under 15 Min,316,97%,Karachi
Dr. Faiqa Kaleem,Dermatologist,Dip. In Dermatology (D-Derm),5 Years,Rs. 500,M.B.B.S.,Under 15 Min,184,99%,Karachi
Dr. Rabia Shamshad,"Dermatologist, Cosmetologist",MBBS,11 Years,"Rs. 2,000",MCPS (Dermatology),15 - 30 Min,12,100%,Karachi
Dr. Tania Shaikh,"Dermatologist, Aesthetic Physician, Laser Specialist, Cosmetologist",MBBS,13 Years,"Rs. 4,000","Dip. in Dermatology,  AAAM (USA)",Under 15 Min,102,97%,Karachi
Dr. Shehla Munir,"Dermatologist, Aesthetic Physician",MBBS,15 Years,"Rs. 2,500","Dip derm,  Dip in aesthetic medicine",Under 15 Min,154,96%,Karachi
Dr. Farina Zameer,"Dermatologist, Cosmetologist",MBBS,7 Years,"Rs. 2,000",M.C.P.S,15 - 30 Min,164,95%,Karachi
Dr. Aisha Sami Khan,"Dermatologist, Laser Specialist, Cosmetologist",MBBS,18 Years,"Rs. 1,500",MCPS (Dermatology),Under 15 Min,260,99%,Karachi
